ASSINATURA;VENCIMENTO;FORNECEDOR;TIPO;VALOR;OBJETIVO
27/01/2010;02/02/2011;EDITORA NOVA FRIBURGO LTDA;Prestação de serviços;26666.66;CONTRATAÇÃO DE EMPRESA JORNALÍSTICA PARA VEICULAÇÃO DE CAMPANHA PUBLICITÁRIA NAS ÁREAS URBANAS E RURAIS DO MUNICÍPIO SOBRE AS AÇÕES DO CADASTRO ÚNICO - PROGRAMA BOLSA FAMÍLIA.
09/02/2010;01/04/2015;INSTITUTO BRASILEIRO DE ADM. MUNICIPAL - IBAM;Prestação de serviços;360000;ASSESSORAMENTO TÉCNICO EM DESENVOLVIMENTO INSTITUCIONAL.
30/03/2010;30/12/2010;JG TECH COM. E PREST. DE SERVIÇOS ALIMENTÍCIOS E GRÁFICOS LTDA - ME;Prestação de serviços;204000;FORNECIMENTO DE SERVIÇO DE REPROGRAFIA PARA AS UNIDADES ESCOLARES E NÍVEL CENTRAL DA SECRETARIA  DE EDUCAÇÃO DA PREFEITURA MUNICIPAL DE NOVA FRIBURGO.
29/03/2010;17/01/2011;CONSTRUTORA TARDOCK LTDA-EPP;Obras e Serviços de Engenharia;542229.14;REALIZAÇÃO DE OBRAS DE REFORMA DA PRAÇA DO SUSPIRO - CENTRO - NOVA FRIBURGO.
24/03/2010;23/03/2013;CS & CS COMERCIO E SERVICOS LTDA - ME;Prestação de serviços;16548;CONTRATO QUE ENTRE SI FIRMAM A PREFEITURA MUNICIPAL DE NOVA FRIBURGO E A FIRMA CS & CS  COMÉRCIO DE SERVIÇOS LTDA  ME -  TENDO POR OBJETO A .LOCAÇÃO DE MÁQUINA PARA REPROGRAFIA
30/04/2010;28/12/2010;PETROBRAS DISTRIBUIDORA S.A;Compras em Geral;759195;FORNECIMENTO DE COMBUSTÍVEL - GASOLINA E BIODIESEL - PARA ABASTECIMENTO DA FROTA MUNICIPAL. COM INSTALAÇÃO DE EQUIPAMENTOS EM CONSIGNAÇÃO.
05/04/2010;31/12/2010;CANOA DA SERRA TURISMO E VIAGENS LTDA-ME;Prestação de serviços;25000;CONTRATAÇÃO DE EMPRESA DE TURISMO ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE AGENTE DE VIAGENS PARA OS ÓRGÃOS DA ADMINISTRAÇÃO DIRETA DO MUNICÍPIO DE NOVA FRIBURGO.
14/05/2010;14/05/2014;ERICTEL ASSESSORIA DE TELECOMUNICACOES LTDA ME;Prestação de serviços;50439.6;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA SERVIÇOS DE LOCAÇÃO E MANUTENÇÃO PREVENTIVA E CORRETIVA DE CENTRAL TELEFÔNICA.
01/07/2010;12/07/2011;ALLSOFT INFORMÁTICA LTDA;Prestação de Serviços de TI (Tec. da Informação);3000;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE ATUALIZAÇÃO. MANUTENÇÃO E SUPORTE TÉCNICO NO SOFTWARE DESENVOLVIDO PELA EMPRESA CONTRATADA.
27/07/2010;22/01/2011;ENGREST-ENGENHARIA DE RECUPERACAO  ETRUTURAL LTDA.;Obras e Serviços de Engenharia;217133.27;OBRAS DE CONSTRUÇÃO DE CORTINA ATIRANTADA NA AV. PRESIDENTE COSTA E SILVA À MARGEM ESQUERDA DO RIO BENGALAS JUNTO AO Nº 711.
